"","Subject","Age","Handedness","Sex","Condition","Cond_order","Dailyusage","Socialapps","Vision","date","set_size","correct_answer","response_time","response_timed_out"
"1","8cb386cc",42,"R","Male","Phone present","1st","between 1 and 3 hours",">3","Corrected vision","2021-08-12_11h56.37.054",6,TRUE,1.38600842563396,FALSE
"2","8cb386cc",42,"R","Male","Phone present","1st","between 1 and 3 hours",">3","Corrected vision","2021-08-12_11h56.37.054",12,FALSE,1.36468287244214,FALSE
"3","8cb386cc",42,"R","Male","Phone present","1st","between 1 and 3 hours",">3","Corrected vision","2021-08-12_11h56.37.054",18,TRUE,3.38570314341072,FALSE
"4","8cb386cc",42,"R","Male","Phone present","1st","between 1 and 3 hours",">3","Corrected vision","2021-08-12_11h56.37.054",12,TRUE,2.51830758535016,FALSE
"5","8cb386cc",42,"R","Male","Phone present","1st","between 1 and 3 hours",">3","Corrected vision","2021-08-12_11h56.37.054",12,FALSE,0,TRUE
"6","8cb386cc",42,"R","Male","Phone present","1st","between 1 and 3 hours",">3","Corrected vision","2021-08-12_11h56.37.054",6,TRUE,2.22481352478386,FALSE
"7","8cb386cc",42,"R","Male","Phone present","1st","between 1 and 3 hours",">3","Corrected vision","2021-08-12_11h56.37.054",6,TRUE,1.2696077180266,FALSE
"8","8cb386cc",42,"R","Male","Phone present","1st","between 1 and 3 hours",">3","Corrected vision","2021-08-12_11h56.37.054",12,TRUE,1.09366500849493,FALSE
"9","8cb386cc",42,"R","Male","Phone present","1st","between 1 and 3 hours",">3","Corrected vision","2021-08-12_11h56.37.054",18,TRUE,3.92504833413215,FALSE
"10","8cb386cc",42,"R","Male","Phone present","1st","between 1 and 3 hours",">3","Corrected vision","2021-08-12_11h56.37.054",6,TRUE,0.871205296112774,FALSE
"11","8cb386cc",42,"R","Male","Phone present","1st","between 1 and 3 hours",">3","Corrected vision","2021-08-12_11h56.37.054",18,TRUE,4.07579698992385,FALSE
"12","8cb386cc",42,"R","Male","Phone present","1st","between 1 and 3 hours",">3","Corrected vision","2021-08-12_11h56.37.054",6,TRUE,2.20921342994988,FALSE
"13","8cb386cc",42,"R","Male","Phone present","1st","between 1 and 3 hours",">3","Corrected vision","2021-08-12_11h56.37.054",6,TRUE,1.38960844751872,FALSE
"14","8cb386cc",42,"R","Male","Phone present","1st","between 1 and 3 hours",">3","Corrected vision","2021-08-12_11h56.37.054",12,TRUE,0.722714303859222,FALSE
"15","8cb386cc",42,"R","Male","Phone present","1st","between 1 and 3 hours",">3","Corrected vision","2021-08-12_11h56.37.054",18,TRUE,1.86035007814059,FALSE
"16","8cb386cc",42,"R","Male","Phone present","1st","between 1 and 3 hours",">3","Corrected vision","2021-08-12_11h56.37.054",18,TRUE,2.08814804689249,FALSE
